<img src="/static/pictures/B1.png", 塩素系及び酸素系漂白剤による漂白処理ができる。, <img src="/static/pictures/201.png"
<img src="/static/pictures/B2.png", 酸素系漂白剤による漂白処理ができるが、<br>塩素系漂白剤による漂白処理はできない。, <img src="/static/pictures/white.png"
<img src="/static/pictures/B3.png", 漂白処理はできない。, <img src="/static/pictures/202.png"
